feature_idx,mean,std,var,min,max,range,avg_logvar,activity,mi_vs_control_diff,mi_vs_control_p,cohens_d,discriminative,strongest_clinical_corr,clinical_corr_value,clinical_corr_p,category
42,-1.0091671,1.5036026,2.2608209,-8.33134,5.079219,13.410559,-6.5476193,1.5036026,0.016733288764953613,0.5684831506535387,0.011111301369965076,False,heart_rate,-0.0026086770381134917,0.6136791322332099,High Activity
49,-0.3898425,1.4907168,2.2222366,-7.217148,6.7899246,14.007072,-6.5204754,1.4907168,0.020361900329589844,0.48322179254490394,0.013711909763514996,False,age,0.006441691881799732,0.21254384102251256,High Activity
32,-0.6976349,1.4703498,2.1619284,-7.007092,5.583924,12.591016,-6.4890146,1.4703498,-0.02999478578567505,0.2954235840151141,-0.020362738519906998,False,heart_rate,0.0019044152879726013,0.7124703508643634,High Activity
57,-1.0303055,1.4641178,2.1436408,-7.6765676,4.3645015,12.041069,-6.5040236,1.4641178,0.06259560585021973,0.028576855720648286,0.04243364557623863,True,heart_rate,0.004347029016523424,0.40021600441037763,High Activity + Discriminative
29,0.5020957,1.4597306,2.1308136,-6.4286156,6.8804836,13.309099,-6.869494,1.4597306,0.038646042346954346,0.17596368635028098,0.02626623772084713,False,age,-0.0054141242487529785,0.2947574254532991,High Activity
31,0.52515525,1.4481125,2.09703,-5.696202,7.003119,12.699321,-6.755676,1.4481125,-0.028977781534194946,0.3046504110617834,-0.019775690510869026,False,heart_rate,-0.002611936961770253,0.6132360716452568,High Activity
24,-0.06433377,1.4469805,2.0937524,-6.1100764,7.5843024,13.694379,-6.5865383,1.4469805,-0.039580050855875015,0.16062472951186085,-0.027204325422644615,False,heart_rate,-0.0027745479511264376,0.5913173232840282,High Activity
39,0.04541463,1.4459167,2.0906749,-8.107477,6.5444436,14.65192,-6.4559746,1.4459167,0.056238967925310135,0.04650278589438803,0.03904105722904205,True,heart_rate,0.004088680181463436,0.4288042366679866,High Activity + Discriminative
53,-0.5900304,1.4443957,2.086279,-7.184873,6.1903915,13.375265,-6.6656055,1.4443957,0.021143615245819092,0.4536817299938296,0.014475245028734207,False,heart_rate,0.004674633770266872,0.3656592392136203,High Activity
38,-0.42895702,1.4437412,2.0843885,-7.7458096,5.6301975,13.376007,-6.621357,1.4437412,-0.04680150747299194,0.0971887964246806,-0.03201698139309883,False,heart_rate,0.0016829944955107764,0.7446580082360446,High Activity
13,0.13050996,1.4436531,2.0841343,-6.230853,5.791857,12.02271,-6.725033,1.4436531,0.0014560222625732422,0.9589119122455859,0.0010002611670643091,False,age,0.010788444732392426,0.03681345136551188,High Activity
37,-0.280838,1.443485,2.0836492,-6.7899017,6.101665,12.891567,-6.754375,1.443485,0.04337581992149353,0.12374354393771445,0.030043095350265503,False,heart_rate,0.004304542971806507,0.40483708140120594,High Activity
47,-0.63943684,1.4404758,2.0749707,-7.3685117,6.0714107,13.439922,-6.565931,1.4404758,-0.007730722427368164,0.7834741819294286,-0.005319316405802965,False,heart_rate,-0.0036837712214114323,0.4759192996399535,High Activity
15,0.6976393,1.4389731,2.0706434,-5.3229623,6.556575,11.879538,-6.5301003,1.4389731,-0.02264702320098877,0.42001474630099556,-0.01578087918460369,False,age,0.00046952749808209794,0.9276019496440179,High Activity
30,0.56937563,1.4384892,2.069251,-5.4910316,6.809489,12.30052,-6.726989,1.4384892,-0.012514889240264893,0.6561407431120014,-0.008609510026872158,False,age,0.002463963570282097,0.6334875738548982,High Activity
59,0.36362723,1.4375385,2.0665169,-7.4945054,6.413219,13.907724,-6.6782446,1.4375385,-0.008885741233825684,0.7510985262119906,-0.0062013352289795876,False,heart_rate,-0.0007148810212094368,0.8899694323386083,High Activity
2,-0.460547,1.4362987,2.0629542,-7.8820047,5.887285,13.76929,-6.547133,1.4362987,0.0651451051235199,0.020030442400725487,0.04575664922595024,True,heart_rate,-0.003192524805649341,0.5366973409826877,Medium Activity + Discriminative
46,-0.7200116,1.4292879,2.042864,-7.648193,5.9876184,13.635811,-6.699524,1.4292879,-0.013154089450836182,0.6369671419454412,-0.00917874090373516,False,age,0.0004560954653084794,0.9296676290658313,Medium Activity
58,0.5790325,1.4291581,2.0424929,-5.5934362,7.651778,13.245214,-6.6424413,1.4291581,0.04062986373901367,0.1451732803796181,0.02853669412434101,False,heart_rate,-0.0017448010452081313,0.7356254926301963,Medium Activity
25,0.46554777,1.4288583,2.041636,-5.3896346,6.6394577,12.029093,-6.6120005,1.4288583,0.03724312782287598,0.18122250233697765,0.025684095919132233,False,heart_rate,0.0035470721181217243,0.4924438446888299,Medium Activity
11,0.3337595,1.4250952,2.0308964,-5.819846,7.0122037,12.83205,-6.5932283,1.4250952,0.008032143115997314,0.7730169092405061,0.005674414802342653,False,age,-0.005395069512282245,0.2964601227583677,Medium Activity
3,1.3762447,1.423477,2.026287,-4.328905,7.760864,12.089769,-6.4684715,1.423477,-0.026742935180664062,0.3352596760843902,-0.01876899227499962,False,heart_rate,0.00324185278655204,0.5304226969488163,Medium Activity
1,-0.31475157,1.4198216,2.0158935,-6.9624095,6.520584,13.482994,-6.5826297,1.4198216,-0.05336654186248779,0.0544878038807208,-0.037507351487874985,False,heart_rate,0.000951091596244446,0.8539710280603052,Medium Activity
54,0.11550011,1.418295,2.0115607,-6.359798,6.289583,12.649382,-6.6538615,1.418295,0.006766103208065033,0.8068676041595171,0.004738371819257736,False,heart_rate,-0.0002624465019517685,0.9594942018216239,Medium Activity
52,-0.5057608,1.4163933,2.00617,-7.0023956,5.2808104,12.283206,-6.670193,1.4163933,-0.011432051658630371,0.6790614241203969,-0.008079303428530693,False,age,0.0006798954791127649,0.8953224169618421,Medium Activity
51,-0.7108787,1.4157639,2.0043871,-8.232839,5.166243,13.399082,-6.7690306,1.4157639,0.0011922717094421387,0.965641462222461,0.0008340991334989667,False,heart_rate,-0.004416176642931931,0.3927631714865516,Medium Activity
56,-0.0877743,1.4155266,2.0037155,-5.454387,5.792948,11.247335,-6.676477,1.4155266,-0.06104784458875656,0.02713344116600843,-0.04308115690946579,True,heart_rate,-0.006065783881646162,0.24045366688016567,Medium Activity + Discriminative
4,0.70474815,1.4132835,1.99737,-5.551266,7.272141,12.823407,-6.7266855,1.4132835,-0.01831263303756714,0.5068931709550317,-0.012881387025117874,False,age,0.008795925404464042,0.08871614667136536,Medium Activity
36,-0.4496548,1.4063019,1.977685,-6.986841,5.293096,12.279938,-6.5571427,1.4063019,-0.02121618390083313,0.440015551364881,-0.01493122335523367,False,heart_rate,0.001896063956857756,0.7136755414559242,Medium Activity
9,-0.3125327,1.4055669,1.9756184,-6.3902235,6.24362,12.633843,-6.6708174,1.4055669,-0.02151280641555786,0.43292367366492923,-0.015382007695734501,False,age,0.003180898469864059,0.5381816580337793,Medium Activity
19,0.01865107,1.4041879,1.9717438,-5.396403,7.238827,12.63523,-6.5345707,1.4041879,-0.030428025871515274,0.26718439872581107,-0.02160058543086052,False,age,0.0025559238741900015,0.6208684118184761,Medium Activity
6,-0.6562686,1.403333,1.9693433,-6.959446,5.8733063,12.832752,-6.5576415,1.403333,-0.004536688327789307,0.8681830033636254,-0.00319071882404387,False,heart_rate,-0.0012392466393738948,0.8104717153140952,Medium Activity
63,-0.09603964,1.4023544,1.9665979,-6.0521383,5.8879905,11.940128,-6.6540017,1.4023544,0.026611171662807465,0.3310185425183012,0.018949095159769058,False,age,0.007215022703543687,0.1626361472688975,Low Activity
18,0.0611213,1.4013147,1.9636831,-6.0129385,5.504256,11.517195,-6.554769,1.4013147,-0.011174745857715607,0.6823743290481997,-0.00801711343228817,False,heart_rate,0.0046074106003224135,0.37259396904201175,Low Activity
27,0.79611623,1.3959191,1.94859,-5.811936,6.8062625,12.618198,-6.6069794,1.3959191,-0.002842128276824951,0.9168813853520186,-0.002032873220741749,False,heart_rate,0.012056293701128457,0.019637468804463324,Low Activity
22,-0.47279602,1.3924173,1.9388258,-7.4857216,5.3636394,12.849361,-6.5247326,1.3924173,0.037555843591690063,0.1667950241423867,0.02692701853811741,False,age,0.006354135327331422,0.218825714213372,Low Activity
