dimension,description,interpretable,plausibility_rate
z_ecg_1,,True,1.0
z_ecg_2,,True,1.0
z_ecg_3,,True,1.0
z_ecg_4,,True,1.0
z_ecg_5,,True,1.0
z_ecg_6,,True,1.0
z_ecg_7,,True,1.0
z_ecg_8,,True,1.0
z_ecg_9,,True,1.0
z_ecg_10,,True,1.0
z_ecg_11,,True,1.0
z_ecg_12,,True,1.0
z_ecg_13,,True,1.0
z_ecg_14,,False,1.0
z_ecg_15,,True,1.0
z_ecg_16,,False,1.0
z_ecg_17,,True,1.0
z_ecg_18,,True,1.0
z_ecg_19,,True,1.0
z_ecg_20,,True,1.0
z_ecg_21,,True,1.0
z_ecg_22,,True,1.0
z_ecg_23,,True,1.0
z_ecg_24,,True,1.0
z_ecg_25,,True,1.0
z_ecg_26,,True,1.0
z_ecg_27,,True,1.0
z_ecg_28,,True,1.0
z_ecg_29,,True,1.0
z_ecg_30,,True,1.0
z_ecg_31,,True,1.0
z_ecg_32,,True,1.0
z_ecg_33,,False,1.0
z_ecg_34,,False,1.0
z_ecg_35,,True,1.0
z_ecg_36,,True,1.0
z_ecg_37,,True,1.0
z_ecg_38,,True,1.0
z_ecg_39,,True,1.0
z_ecg_40,,True,1.0
z_ecg_41,,True,1.0
z_ecg_42,,True,1.0
z_ecg_43,,True,0.8571428571428571
z_ecg_44,,True,1.0
z_ecg_45,,True,1.0
z_ecg_46,,True,1.0
z_ecg_47,,True,1.0
z_ecg_48,,True,1.0
z_ecg_49,,True,1.0
z_ecg_50,,True,1.0
z_ecg_51,,True,1.0
z_ecg_52,,True,1.0
z_ecg_53,,True,1.0
z_ecg_54,,True,1.0
z_ecg_55,,True,1.0
z_ecg_56,,True,1.0
z_ecg_57,,True,1.0
z_ecg_58,,True,1.0
z_ecg_59,,True,1.0
z_ecg_60,,True,1.0
z_ecg_61,,True,1.0
z_ecg_62,,True,1.0
z_ecg_63,,True,1.0
z_ecg_64,,True,1.0
